formatted_input
"9th of 20, fairly beaten | [RACE]: A slightly lower-quality renewal than the last couple of years, when a BHA mark in triple figures was required to get a run, and there were positional and tactical biases at play here, too, the field splitting into 2 groups, those drawn 18-23 staying towards the stand rail and left with little chance the way this developed, whilst a handy pitch proved an advantage in the bigger far-side group, the front pair in the firing line throughout; of those who didn't enjoy the rub of the green, Sonny Liston shaped well from a long way back and Al Mubhir did best of the stand-side contingent. | [HORSE]: shaped much better than the distance beaten suggests, first home in his group and having no chance with those who raced in the bigger far-side pack; prominent in group (raced stand side), ridden over 2f out, headway soon after, edged right, flattened out final 1f as effort of trying to get on terms with principals told; he's better handicapped than his last 2 starts in this sphere would suggest and he's not one to give up on in this type of event."
"2nd of 17, involved in finish | [RACE]: A competitive contest with no less than 6 previous course winners in attendance and, despite only 4 lengths covering almost half of the field, it still appeals as solid form, the thriving Aphelios leading home a pair of last-time-out winners with an unexposed 3-y-o who didn't get the clearest of runs hot on their heels; it developed in somewhat typical fashion for a 7f event here with those drawn in single figures coming to the fore, as well as it proving hard to get involved from the rear, the well-weighted pair Orbaan and Zip both worth marking up as a result. | [HORSE]: has made a generally positive start for the yard and, on softer ground than previously, turned in best effort of the season, beaten only by a thriving sort; mid-field, headway on bridle over 2f out, produced to lead 1f out, edged out final 100 yds."
"2nd of 13, involved in finish | [RACE]: This looked a belting handicap beforehand, virtually all of these 3-y-os still improving and 6 of the 13 having won a handicap on their most recent start and, despite a steadier gallop than might have been expected, it seems sure to make for good form, the pair clear at the top of the weights coming out on top. | [HORSE]: took a step forward switched to a handicap, losing out only to one on a steep upward curve having been keener than ideal in a race that wasn't anything like as strongly run as expected; held up, not settle fully, progress into mid-field halfway, further headway under 2f out, challenged inside final 1f, every chance briefly last ½f, kept on."
"2nd of 10, competitive | [RACE]: A low-grade handicap won in comfortable fashion, but the race was marred when the promising favourite came down heavily after his rider had switched routes markedly 2f out, while the runner-up also suffered a troubled passage. | [HORSE]: hasn't won for a long time but stopped the slide back up in trip, looking unlucky not to finish closer, and she's dropped to a workable mark now; held up, pushed along 3f out, headway when no room from 2f out, forced to switch final 1f, ran on."
"2nd of 9, involved in finish | [RACE]: A handicap that seemed to be run at an end-to-end gallop, but as is often the way around here, it still proved hard to get involved from too far back, and it probably isn't form to get carried away with. | [HORSE]: had been out of form but he goes well at this track and has won here in the past following some poor performances elsewhere. He was only caught in the final strides having hit 1.06 in running. The strong wind had been heavily favouring front-runners so whether he backs this up next time remains to be seen."
"Won | [RACE]: A couple of those with previous experience failed to meet expectations but this still looks form to view positively, newcomers filling 4 of the first 5 spots, the winner showing a smart turn of foot to come from what looked an unpromising position. | [HORSE]: (£18,000Y: by Territories: second foal: dam unraced half-sister to winners up to 1m Pearl Ice (useful) and Ancient Goddess out of useful 2-y-o 5f/6f winner Jezebel) looked potentially useful as she overcame some traffic problems to ultimately win with a bit to spare; waited with, still plenty to do 2f out, headway when forced to switch over 1f out, quickened to lead final 100 yds, won cosily; sure to improve."
"Won | [RACE]: What looked a very competitive 3-y-o handicap on paper proved to be anything but, Sir Lamorak in a league of his own, making up a lot of ground in the straight even considering that it was a well-run race. | [HORSE]: back on turf, made a mockery of his opening mark to follow up from last time, a group horse masquerading as a handicapper; waited with, still plenty to do 3f out, forced to switch early in straight, quickened to lead entering final 1f, edged left, forged clear, confidently ridden; will go on improving and presumably take in a Derby trial next."
"Won | [RACE]: A 1-2 in the race for Willie Mullins but not in the order many expected, Blue Lord the first beaten favourite in this Grade 1 contest since its inception. | [HORSE]: got back on track in no uncertain terms, this much more in keeping with the promise he'd shown as a novice last season, jumping better on the whole than he had here over Christmas and leaving his stablemate trailing with a couple of accurate leaps at the last 2; close up, awkward second, went on fifth, travelled well, shaken up 2 out, quickened clear approaching last, pushed out; he's already taken the scalp of the current Champion Chase favourite once, but Edwardstone looked to be feeling the effects of a tough campaign that day and the presence of Editeur du Gite means he's unlikely to get his own way in the Champion Chase."
"10th of 10, well beaten | [RACE]: A fairly useful handicap that was run at a strong gallop set by Arenas del Tiempo, the first 2 coming from the second wave, Wonder Starelzaam proving better than ever back from a break. | [HORSE]: a sizable and scopey individual (who was 2lb well-in), failed to build positively on a pleasing recent Kempton effort. It later transpired that he'd bled from the nose."
"3rd of 9, competitive | [RACE]: A well-established Group 2 sprint, the race title slightly tweaked to avoid confusion with any other Dukes of York, the race itself looking on paper a little substandard overall and plenty not seeming at home on what looked a loose surface, but the winner was clearly much improved, the time in comparison to the preceding handicap giving scope for a really high view to be taken, a little more caution advised for now, conditions not sure to be so ideal for the winner another time. | [HORSE]: , third in the Champions Sprint at Ascot when last seen in October, was a little disappointing, especially considering he won the Gimcrack here as a 2yo, but maybe the run was needed."
